Algorithm,PROCESSES_1,PROCESSES_2,PROCESSES_3,PROCESSES_4,PROCESSES_5,PROCESSES_6,PROCESSES_7,PROCESSES_8,PROCESSES_9,PROCESSES_10,PROCESSES_11,PROCESSES_12,PROCESSES_13,PROCESSES_14,PROCESSES_15,PROCESSES_16,PROCESSES_17,PROCESSES_18,PROCESSES_19,PROCESSES_20,PROCESSES_21,PROCESSES_22,Mean
GLB_FIFO,17.687500,9.875000,41.166667,7.700000,41.107143,24.000000,7.125000,17.250000,49.875000,25.450000,25.083333,11.687500,50.466667,49.000000,58.850000,62.409091,89.750000,102.153846,89.642857,119.800000,162.857143,139.175000,54.641443
GLB_RR,13.312500,9.500000,22.916667,6.950000,33.357143,24.000000,5.625000,10.500000,34.281250,14.750000,18.458333,6.562500,70.400000,65.388889,80.050000,94.318182,120.000000,126.423077,107.821429,148.200000,232.114286,192.575000,65.341103
PAR_FIFO,17.687500,9.875000,41.166667,7.700000,41.107143,24.000000,7.125000,17.250000,49.875000,25.450000,25.083333,11.687500,50.466667,49.000000,58.850000,62.409091,89.750000,102.153846,89.642857,119.800000,162.857143,139.175000,54.641443
CPU_Affinity,19.062500,18.000000,28.208333,7.300000,53.357143,44.000000,23.000000,29.000000,53.687500,15.450000,16.208333,8.625000,75.666667,83.500000,91.250000,103.863636,132.208333,142.000000,122.821429,154.033333,238.942857,198.975000,75.416367
Work_Stealing,11.687500,11.437500,20.083333,5.800000,31.750000,44.000000,5.812500,9.812500,31.250000,12.100000,12.375000,3.750000,71.133333,67.666667,76.000000,92.727273,123.750000,122.884615,116.357143,148.966667,234.028571,188.150000,65.523755
Load Balancing,19.687500,11.062500,47.375000,7.800000,40.535714,24.000000,8.375000,15.875000,50.000000,24.200000,12.000000,3.750000,51.666667,46.777778,61.600000,59.545455,89.541667,106.653846,87.392857,118.533333,158.285714,133.700000,53.561729
