Algorithm,PROCESSES_1,PROCESSES_2,PROCESSES_3,PROCESSES_4,PROCESSES_5,PROCESSES_6,PROCESSES_7,PROCESSES_8,PROCESSES_9,PROCESSES_10,PROCESSES_11,PROCESSES_12,PROCESSES_13,PROCESSES_14,PROCESSES_15,PROCESSES_16,PROCESSES_17,PROCESSES_18,PROCESSES_19,PROCESSES_20,PROCESSES_21,PROCESSES_22,Mean
GLB_FIFO,17.687500,9.875000,41.166667,7.700000,41.107143,24.000000,7.125000,17.250000,49.875000,25.450000,25.083333,11.687500,50.466667,49.000000,58.850000,62.409091,89.750000,102.153846,89.642857,119.800000,162.857143,139.175000,54.641443
GLB_RR,11.375000,8.812500,13.291667,3.850000,22.428571,24.000000,4.812500,7.812500,20.625000,10.250000,13.875000,6.187500,10.733333,14.611111,23.000000,24.454545,26.041667,27.923077,35.285714,33.633333,45.371429,47.850000,19.828384
PAR_FIFO,17.687500,9.875000,41.166667,7.700000,41.107143,24.000000,7.125000,17.250000,49.875000,25.450000,25.083333,11.687500,50.466667,49.000000,58.850000,62.409091,89.750000,102.153846,89.642857,119.800000,162.857143,139.175000,54.641443
CPU_Affinity,5.750000,5.312500,6.291667,1.900000,10.571429,10.000000,1.500000,2.312500,10.687500,4.750000,8.750000,4.062500,2.866667,4.944444,7.550000,8.227273,9.250000,9.846154,11.428571,11.766667,14.828571,15.925000,7.660066
Work_Stealing,6.000000,5.312500,6.000000,1.900000,10.714286,10.000000,1.687500,3.187500,10.375000,4.800000,8.750000,3.562500,4.000000,5.333333,7.800000,8.818182,9.750000,10.000000,12.107143,12.233333,15.371429,16.550000,7.920578
Load Balancing,19.687500,11.062500,47.375000,7.800000,40.535714,24.000000,8.375000,15.875000,50.000000,24.200000,12.000000,3.750000,51.666667,46.777778,61.600000,59.545455,89.541667,106.653846,87.392857,118.533333,158.285714,133.700000,53.561729
