Algorithm,PROCESSES_1,PROCESSES_2,PROCESSES_3,PROCESSES_4,PROCESSES_5,PROCESSES_6,PROCESSES_7,PROCESSES_8,PROCESSES_9,PROCESSES_10,PROCESSES_11,PROCESSES_12,PROCESSES_13,PROCESSES_14,PROCESSES_15,PROCESSES_16,PROCESSES_17,PROCESSES_18,PROCESSES_19,PROCESSES_20,PROCESSES_21,PROCESSES_22,Mean
GLB_FIFO,0.807927,0.844828,0.812857,0.901316,0.856419,1.000000,0.659664,0.944444,0.809585,0.648649,0.825843,0.970000,0.932796,0.820946,0.853139,0.852273,0.908557,0.976510,0.905477,0.911765,0.974940,0.935579,0.870614
GLB_RR,0.871711,0.710145,0.935855,0.805882,0.874138,1.000000,0.682609,0.890476,0.952744,0.813559,0.954545,0.898148,0.948087,0.925127,0.932598,0.957447,0.977437,0.970000,0.970644,0.963018,0.986715,0.986908,0.909445
PAR_FIFO,0.807927,0.844828,0.812857,0.901316,0.856419,1.000000,0.659664,0.944444,0.809585,0.648649,0.825843,0.970000,0.932796,0.820946,0.853139,0.852273,0.908557,0.976510,0.905477,0.911765,0.974940,0.935579,0.870614
CPU_Affinity,0.505725,0.433628,0.595188,0.925676,0.485632,1.000000,0.372038,0.415556,0.465030,0.923077,0.798913,0.591463,0.880711,0.709144,0.820043,0.797872,0.848746,0.819718,0.883621,0.795844,0.872863,0.916088,0.720753
Work_Stealing,0.875000,0.674658,0.892188,0.793103,0.937500,1.000000,0.718182,0.889151,0.919591,0.799587,0.879412,0.912037,0.966851,0.931472,0.944581,0.924490,0.949477,0.953583,0.958178,0.948551,0.979117,0.974328,0.900956
Load Balancing,0.985294,0.777344,0.792818,0.649083,0.837662,1.000000,0.750000,0.927184,0.875000,0.674658,0.745000,0.912037,0.880653,0.901961,0.805439,0.913000,0.935788,0.929365,0.931655,0.952762,0.931869,0.902935,0.864159
